,Model,Horizon,apache_groovy,apache_incubator_dubbo,apache_kafka,apache_nifi,apache_ofbiz,apache_systemml,commonsio,google_guava,igniterealtime_openfire,java_websocket,jenkinsci_jenkins,spring-projects_spring-boot,square_okhttp,square_retrofit,zxing_zxing,mean
23,SVR_rbf,20,38481.881694699834,3346.6735966205338,4414.530919527812,6313.747517668721,19315.366954634796,15821.705550333256,412.55105477330835,17543.93177448994,24869.038670557013,929.7300482919798,8388.095800244508,650.3103056703357,3346.515996497094,1164.9653519997917,151.73089727584986,9676.718408885652
24,SVR_rbf,40,49112.02204825072,2003.9037708622684,4183.961754054713,3516.7685981470436,5598.771627406956,4242.7413843919585,360.0431027726982,8080.513202168829,14394.790248267846,222.25292574790757,2559.127503001147,642.3670901714219,1967.1703937366215,1129.4695031565338,209.75299674382345,6548.243743258699
25,SVR_linear,1,2958.565133207809,1978.741227324919,575.913076618285,2473.124050052456,638.3551763088399,1267.7151672643547,17.887960609840384,797.9373103941554,10407.974439472435,107.55542728356185,325.5858582470454,30.730706498452882,125.48336392616363,120.72653702232657,36.50749093951524,1457.5201950113437
26,SVR_linear,5,40259.59196323776,2711.714341258539,2436.9259640102673,4229.74235842655,4012.211783858645,3706.0523387168564,88.68133768123035,2007.3907692610615,17293.906348755343,221.5813975274106,1213.3983711055832,118.07639006235792,290.797288361921,387.94668553772834,109.27584089630484,5272.486211913169
27,SVR_linear,10,351772.78594727797,5525.774004131013,2012.3529329224534,2590.6081632704727,6016.179567719532,5143.030627559699,169.81355923211987,4931.995130100242,52637.20353846911,332.3491397879067,2431.880170255384,518.8889325474681,417.13243738249764,629.4936682014122,131.8263252870894,29017.420942942954
28,SVR_linear,20,98821.46275945382,3437.9809672448127,3229.7243195666842,3091.833713952468,22241.550936098098,6903.877641685451,415.93719516562123,9984.85898571216,37381.03414681283,936.1914480422462,4407.667403392438,205.8876801869119,2012.041053035215,458.4081741051872,149.7148122409389,12911.878082446327
29,SVR_linear,40,1398139.2228899826,2023.8699047940665,6395.9235831607975,2835.9185378761435,8961.841425762095,3625.6008525143493,324.29070092482743,4309.152255311218,28028.22286225815,224.17272932239914,2718.533558985156,241.73561708024636,1556.06913495186,647.7038215507656,211.53217968651722,97349.58600361073
30,RandomForestRegressor,1,6994.137833333334,2902.0099999999993,3407.9544166666674,5489.046136363637,1485.801315789479,4268.5747619047615,150.59496738031572,1798.0296714285712,10501.908650024834,290.29228857430763,1844.3621865325065,59.90019961718301,237.8324583333333,224.7101754385965,64.5798245614034,2647.982325729929
31,RandomForestRegressor,5,8395.783739130433,3303.892857142857,4598.337304347826,4339.701000000001,2220.801388888895,4379.168695652173,214.15715627687558,2021.4075478260863,15532.177397433396,404.51567276219373,2185.330559579168,105.43818256939164,334.12891304347824,271.81759259259246,85.65582010581993,3226.1542551567463
32,RandomForestRegressor,10,9565.491913043481,4051.742307692308,4016.8674782608696,4222.188888888888,2112.7470588235274,4998.07095652174,258.6704522422072,4102.828434782609,18017.450552460654,694.7244038603801,2076.559532781229,140.10170532883143,322.34627140974965,290.9442156862746,85.91352941176478,3663.776513412967
33,RandomForestRegressor,20,15271.294476190475,2951.009090909091,3067.439047619048,3685.063571428571,2277.338333333334,5252.380317460317,396.0058449573721,5955.7803590325,16967.65486594638,590.3194045190719,3668.4389236591296,136.7950141108891,331.1831402479407,221.12,79.39733333333334,4056.747981516497
34,RandomForestRegressor,40,12202.323555555557,1120.0714285714284,3831.9654444444445,2146.2558333333327,2893.027272727272,2985.491111111111,410.23657116158375,2204.061555555558,5909.588888888887,373.75528786688767,1182.4608518518503,128.97322948887526,290.8322222222222,77.42348484848476,95.30512987012989,2390.1181244998415
